tweets,id,len,date,source,likes,retweets,sentiment
LA is so beautiful after the rain https://t.co/caXOWAXcOM,1084616480988094464,57,2019-01-14 01:01:34,Twitter for iPhone,36338,2097,0.85
SpaceX Dragon from as seen from @Space_Station viewport https://t.co/WE82irbsmp,1084582152556109824,79,2019-01-13 22:45:10,Twitter for iPhone,10284,721,0.0
Falcon comes home https://t.co/vCtOtHSbdn,1084555685445029888,41,2019-01-13 21:00:00,Twitter for iPhone,58458,3677,0.0
View of SpaceX Dragon 1 berthed with @Space_Station in the last Cupola opening. Dragon 2 (Crew Dragon) launching soon. https://t.co/eF2ltrHc7c,1084518285889089536,142,2019-01-13 18:31:23,Twitter for iPhone,13226,1549,0.0
It needed to be made real https://t.co/9Y490tukao,1083649851366158337,49,2019-01-11 09:00:32,Twitter for iPhone,96436,8704,0.2
Starship Hopper will do vertical flight tests similar to the Falcon 9 Hopper https://t.co/5dCrGFqymR,1083582184005533697,100,2019-01-11 04:31:39,Twitter for iPhone,13327,1253,0.0
"Starship test flight rocket just finished assembly at the @SpaceX Texas launch site. This is an actual picture, not a rendering. https://t.co/k1HkueoXaz",1083567087983964160,152,2019-01-11 03:31:40,Twitter for iPhone,126112,23452,0.0
Tesla *with* Autopilot engaged is twice as safe &amp; continues to make steady improvements https://t.co/8dhVPUDeh0,1083252225449840642,115,2019-01-10 06:40:31,Twitter for iPhone,37674,3528,0.3333333333333333
"Starting on Monday, Tesla will no longer be taking orders for the 75 kWh version of the Model S &amp; X. If you’d like that version, please order by Sunday night at https://t.co/46TXqRJ3C1",1083141248872075265,188,2019-01-09 23:19:32,Twitter for iPhone,9352,1017,0.0
"Btw, you can buy a Tesla online in less than 2 mins &amp; give it back for a full refund for any reason https://t.co/46TXqRJ3C1",1083121972857487360,127,2019-01-09 22:02:56,Twitter for iPhone,36787,4198,0.06111111111111111
The new Roadster will actually do something like this https://t.co/fIsTAYa4x8,1083095876392964096,77,2019-01-09 20:19:14,Twitter for iPhone,160647,23955,0.06818181818181818
And now … we dance! https://t.co/2TdS6EVSmi,1082579294738698240,43,2019-01-08 10:06:31,Twitter for iPhone,115454,7664,0.0
#NewProfilePic https://t.co/W4xT1ywqjA,1082180642937491456,38,2019-01-07 07:42:25,Twitter for iPhone,332958,38480,0.0
Looking forward to breaking ground on the @Tesla Shanghai Gigafactory today!,1082103637990625281,76,2019-01-07 02:36:26,Twitter for iPhone,41033,2376,0.0
Good sign that almost no Model 3 owners want to sell their cars! https://t.co/tAFIrvX0lC,1082081096551055362,88,2019-01-07 01:06:52,Twitter for iPhone,24601,1510,0.7
Falcon 9 on launch pad with Crew Dragon &amp; new astronaut walkway https://t.co/aopO67qe4F,1081986795452157955,91,2019-01-06 18:52:09,Twitter for iPhone,78156,8956,0.13636363636363635
Matt DeBord reviews all Tesla models https://t.co/ZZ7KW9cPpn via @businessinsider,1081580505412202498,81,2019-01-05 15:57:41,Twitter for iPhone,7172,529,0.0
"Starship test vehicle under assembly will look similar to this illustration when finished. Operational Starships would obv have windows, etc. https://t.co/D8AJ01mjyR",1081576707365064704,165,2019-01-05 15:42:36,Twitter for iPhone,106691,14114,0.0
"Good shot of @SpaceX Starship flight test vehicle being assembled in Boca Chica, Texas https://t.co/qUYDdZznBK",1081573955591258113,110,2019-01-05 15:31:40,Twitter for iPhone,26340,2730,0.7
About a month away from the first orbital test flight of crew Dragon https://t.co/U01Oxu3M7E,1081459477100941313,92,2019-01-05 07:56:46,Twitter for iPhone,50775,5330,0.25
Three quarks for Muster Mark!,1081289153071857664,29,2019-01-04 20:39:58,Twitter for iPhone,20741,761,0.0
…,1081276036036186112,1,2019-01-04 19:47:50,Twitter for iPhone,152452,22536,0.0
There are no coincidences https://t.co/9AEbbuXZGn,1080963075539234816,49,2019-01-03 23:04:15,Twitter for iPhone,682612,167709,0.0
"Model 3 mid-range EPA rating is actually 264 miles, slightly higher than prior estimate of 260 https://t.co/l4eCpTObAi",1080954820926664704,118,2019-01-03 22:31:27,Twitter for iPhone,10856,777,0.0625
Great work by Tesla Team! https://t.co/ryXw9fxGv8,1080636120159870976,49,2019-01-03 01:25:02,Twitter for iPhone,36309,2710,0.8
Congratulations @Tesla team!! https://t.co/PBr9VVBv1S,1080000130407776264,53,2019-01-01 07:17:51,Twitter for iPhone,80537,3282,0.0
Haha,1079895177970372608,4,2019-01-01 00:20:48,Twitter for iPhone,181694,33546,0.2
Hope everyone has a happy New Year!,1079819716892319744,35,2018-12-31 19:20:57,Twitter for iPhone,167488,16613,0.4681818181818182
"Good summary of Tesla progress in 2018 by @cleantechnica (due to Tesla team, not me though) https://t.co/vZgYts9auG via @cleantechnica",1079564797002182656,134,2018-12-31 02:27:59,Twitter for iPhone,10175,1055,0.2875
When one of the interns working on the simulation drops the ball … https://t.co/SPp8RAJPAq,1079456009964347393,90,2018-12-30 19:15:42,Twitter for iPhone,74996,10453,0.0
Excited to have Larry Ellison &amp; Kathleen Wilson-Thompson join the Tesla board! https://t.co/CQyvkgsCsT,1078716366591483904,106,2018-12-28 18:16:38,Twitter for iPhone,40523,2548,0.375
"Yes. Supercharger coverage will extend to 100% of Europe next year. From Ireland to Kiev, from Norway to Turkey. https://t.co/7FQZgLCTVJ",1078021840444903424,136,2018-12-26 20:16:50,Twitter for iPhone,19073,2227,0.0
"Most people don’t know that the Tesla Supercharger network allows easy long distance travel throughout USA, most of Europe, Canada and China https://t.co/ZzN9Tabq8C",1078014421446799360,164,2018-12-26 19:47:21,Twitter for iPhone,16842,1552,0.3458333333333333
Reminder to US buyers that the $7500 tax credit cuts in half in 5 days! Order online at https://t.co/46TXqRrsdr to see if there is any inventory left in your region or visit Tesla stores.,1078000436697677824,187,2018-12-26 18:51:47,Twitter for iPhone,14432,1477,-0.08333333333333333
"Merry Christmas &amp; goodwill to all!!
⛄️ 🎄 🎁 🎅 💝 😀",1077623025900519424,52,2018-12-25 17:52:05,Twitter for iPhone,210220,18852,0.0
Stainless Steel Starship https://t.co/rRoiEKKrYc,1077106553189093376,48,2018-12-24 07:39:48,Twitter for iPhone,108660,9697,0.2
At SpaceX Boca Chica launch site in Texas https://t.co/MtxkuhDDdE,1076977053042466821,65,2018-12-23 23:05:13,Twitter for iPhone,33275,2806,0.0
Amazing space progress by China. This year they did more orbital launches than the USA for the first time. https://t.co/rIks4ZHuCO,1076905111597662208,130,2018-12-23 18:19:21,Twitter for iPhone,27566,2750,0.45
Engineering is true magic,1076864234695192576,25,2018-12-23 15:36:55,Twitter for iPhone,242463,44789,0.425
Please put “invented car fart” on my gravestone. This is my only request.,1076700164121751552,73,2018-12-23 04:44:57,Twitter for iPhone,184284,19990,0.0
